"ID";"203828";
"Name";"13 Minutes: The Cuban Missile Crisis, 1962";
"Beschreibung";"In '13 Minutes: The Cuban Missile Crisis, 1962' übernehmen die Spieler die Rollen der Supermächte USA und Sowjetunion während der dramatischen Tage der Kubakrise. In diesem intensiven Mikrospiel gilt es, mit geschicktem Einsatz von Einflusskarten strategische Vorteile zu erringen und die Welt vor einem nuklearen Desaster zu bewahren. Durch Bluffen, Verhandeln und taktisches Geschick versucht jeder Spieler, die Oberhand zu gewinnen, ohne die prekäre Balance zu stören. Ein spannendes Duell, das tief in die Geschichte eintaucht";
"Tagline";"Erlebe die Spannung der Kubakrise in 13 intensiven Minuten strategischer Entscheidungen und diplomatischer Verhandlungen";
"Thumbnail";"https://cf.geekdo-images.com/xonPGeLeyBe01TbOf3lgoA__thumb/img/ESbF2E0X-Nxu8-mh4nk2NX7ausg=/fit-in/200x150/filters:strip_icc()/pic3544548.jpg";
"2";"Difficulty (2 = easy)";
"2";"Play Time (2 = short)";
"-1";"Cooperative vs. competetive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"0";"Language Dependence (2 = no text)";
"-1";"Release year (2 = new)";
"#####";"";
"ID";"27339";
"Name";"3 Man Chess";
"Beschreibung";"3 Man Chess bringt eine spannende Wendung in das traditionelle Schachspiel, indem es drei Spieler auf einem kreisförmigen Brett gegeneinander antreten lässt. Dieses einzigartige Spiel erfordert strategisches Denken und Anpassungsfähigkeit, da die Spieler nicht nur ihre eigenen Züge, sondern auch die Aktionen von zwei Gegnern im Auge behalten müssen. Durch die erweiterte Dimension des Spiels entstehen neue taktische Möglichkeiten und dynamische Spielverläufe. Perfekt für Schachliebhaber, die nach einer neuen Herausforderung suchen und ihre Fähigkeiten auf die Probe stellen möchten";
"Tagline";"3 Man Chess: Die ultimative Herausforderung für strategische Denker auf einem kreisförmigen Brett für drei Spieler";
"Thumbnail";"https://cf.geekdo-images.com/ihYzUb_cr_TCm5SvS07wrw__thumb/img/mfpG1xJtL2VQ-IC97ej7tojXTmw=/fit-in/200x150/filters:strip_icc()/pic299557.jpg";
"2";"Difficulty (2 = easy)";
"1";"Play Time (2 = short)";
"-1";"Cooperative vs. competetive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"0";"Language Dependence (2 = no text)";
"-2";"Release year (2 = new)";
"#####";"";
"ID";"207830";
"Name";"5-Minute Dungeon";
"Beschreibung";"In '5-Minute Dungeon' stürzt ihr euch als unerschrockene Helden in ein temporeiches Abenteuer voller Monster, Hindernisse und mächtiger Bosse. Arbeitet zusammen, um mit eurer einzigartigen Heldenausrüstung und cleverem Einsatz von Karten die düsteren Verliese zu durchqueren. Jeder Dungeon muss in nur fünf Minuten gemeistert werden, was schnelle Entscheidungen und blitzschnelle Reaktionen erfordert. Mit kooperativer Strategie und Teamgeist überwindet ihr die Gefahren, die euch erwarten, und beweist, dass ihr das Zeug zu wahren Helden habt!";
"Tagline";"Ein rasantes, kooperatives Kartenspiel, in dem Helden in nur fünf Minuten gegen Monster und Bosse kämpfen, um das Verlies zu überstehen!";
"Thumbnail";"https://cf.geekdo-images.com/bFZKvxPJ23dzGwgpOg-mIA__thumb/img/DcrVgGjSLsCZqXvEE_s0a1JSdn4=/fit-in/200x150/filters:strip_icc()/pic3213622.png";
"2";"Difficulty (2 = easy)";
"2";"Play Time (2 = short)";
"-1";"Cooperative vs. competetive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"0";"Language Dependence (2 = no text)";
"-1";"Release year (2 = new)";
"#####";"1";
"ID";"294514";
"Name";"5-Minute Mystery";
"Beschreibung";"In '5-Minute Mystery' schlüpfen die Spieler in die Rolle von Detektiven, die gemeinsam ein kniffliges Rätsel lösen müssen. Jeder Fall bietet neue Herausforderungen, die innerhalb von fünf Minuten gelöst werden sollen. Durch Zusammenarbeit, scharfe Beobachtungsgabe und schnelle Schlussfolgerungen gilt es, die versteckten Hinweise zu finden und das Geheimnis zu lüften. Mit einer abwechslungsreichen Mischung aus Logikrätseln und Zeitdruck sorgt das Spiel für Spannung und Nervenkitzel in jeder Runde";
"Tagline";"Ein rasantes Detektivspiel, in dem Teamgeist und schnelle Entscheidungen gefragt sind, um das Geheimnis in nur fünf Minuten zu lösen";
"Thumbnail";"https://cf.geekdo-images.com/227j91odzi4v2S2pbxcscg__thumb/img/WnOChlK7te8FoCGy-yDGDCAacOo=/fit-in/200x150/filters:strip_icc()/pic7486281.jpg";
"2";"Difficulty (2 = easy)";
"2";"Play Time (2 = short)";
"-1";"Cooperative vs. competetive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"0";"Language Dependence (2 = no text)";
"0";"Release year (2 = new)";
"#####";"1";
"ID";"192458";
"Name";"51st State: Master Set";
"Beschreibung";"51st State: Master Set ist ein strategisches Brettspiel, das in einer post-apokalyptischen Welt angesiedelt ist. Die Spieler übernehmen die Kontrolle über eine von vier einzigartigen Fraktionen, um ein neues Imperium aus den Überresten der zerstörten Zivilisation zu errichten. Durch das Sammeln von Ressourcen, Verhandeln und Erobern von Orten erweitern sie ihr Territorium, während sie versuchen, ihre Gegner zu überlisten. Mit einer Vielzahl von Karten, die unterschiedliche Strategien ermöglichen, bietet das Spiel eine dynamische und herausfordernde Spielerfahrung, die taktisches Geschick und Anpassungsfähigkeit erfordert";
"Tagline";"Erobere das post-apokalyptische Amerika, baue dein Imperium und dominiere rivalisierende Fraktionen in diesem strategischen Ressourcen- und Kartenspiel";
"Thumbnail";"https://cf.geekdo-images.com/oaDIooAl30NgVUWeIpC1sg__thumb/img/bWWziWTy6KflOseb2tYLNC0PrfQ=/fit-in/200x150/filters:strip_icc()/pic2945432.jpg";
"2";"Difficulty (2 = easy)";
"1";"Play Time (2 = short)";
"-1";"Cooperative vs. competetive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"0";"Language Dependence (2 = no text)";
"-1";"Release year (2 = new)";
"#####";"3";
"ID";"68448";
"Name";"7 Wonders";
"Beschreibung";"In '7 Wonders' führst du eine der sieben großen Zivilisationen der Antike und kämpfst um Ruhm und Ehre. Entwickle deine Stadt, indem du Ressourcen sammelst, Gebäude errichtest und technologische Fortschritte machst. Gleichzeitig baust du eines der berühmten Weltwunder. Jede Entscheidung beeinflusst deine Strategie und das Schicksal deiner Zivilisation. Mit einem cleveren Kartenauswahlsystem und einem dynamischen Spielablauf bietet '7 Wonders' spannende Herausforderungen und endlose Wiederspielbarkeit für 2 bis 7 Spieler";
"Tagline";"Erschaffe eine Zivilisation, baue Weltwunder und führe dein Volk zum Ruhm in diesem strategischen Kartenspiel";
"Thumbnail";"https://cf.geekdo-images.com/35h9Za_JvMMMtx_92kT0Jg__thumb/img/BUOso8b0M1aUOkU80FWlhE8uuxc=/fit-in/200x150/filters:strip_icc()/pic7149798.jpg";
"2";"Difficulty (2 = easy)";
"2";"Play Time (2 = short)";
"-1";"Cooperative vs. competetive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"0";"Language Dependence (2 = no text)";
"-2";"Release year (2 = new)";
"#####";"3";
"ID";"68448";
"Name";"7 Wonders";
"Beschreibung";"In '7 Wonders' führst du eine der sieben großen Zivilisationen der Antike und kämpfst um Ruhm und Ehre. Entwickle deine Stadt, indem du Ressourcen sammelst, Gebäude errichtest und technologische Fortschritte machst. Gleichzeitig baust du eines der berühmten Weltwunder. Jede Entscheidung beeinflusst deine Strategie und das Schicksal deiner Zivilisation. Mit einem cleveren Kartenauswahlsystem und einem dynamischen Spielablauf bietet '7 Wonders' spannende Herausforderungen und endlose Wiederspielbarkeit für 2 bis 7 Spieler";
"Tagline";"Erschaffe eine Zivilisation, baue Weltwunder und führe dein Volk zum Ruhm in diesem strategischen Kartenspiel";
"Thumbnail";"https://cf.geekdo-images.com/sqoAhTofAiqtDKDJW3dv9A__thumb/img/W0_OCvwakBNtXFSfoA2Qpj4QbM4=/fit-in/200x150/filters:strip_icc()/pic4051253.jpg";
"2";"Difficulty (2 = easy)";
"2";"Play Time (2 = short)";
"-1";"Cooperative vs. competetive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"0";"Language Dependence (2 = no text)";
"-1";"Release year (2 = new)";
"#####";"5";
"ID";"173346";
"Name";"7 Wonders Duel";
"Beschreibung";"In '7 Wonders Duel' treten zwei Spieler in einem intensiven Wettstreit um die Vorherrschaft ihrer Zivilisation an. Jeder wählt abwechselnd Karten, die unterschiedliche Vorteile bieten wie militärische Stärke, wissenschaftlichen Fortschritt oder wirtschaftlichen Wohlstand. Der Sieg kann durch militärische Dominanz, wissenschaftliche Überlegenheit oder den höchsten Punktestand am Ende des Spiels errungen werden. Mit einer Vielzahl von strategischen Möglichkeiten bietet '7 Wonders Duel' endlose Wiederspielbarkeit und fordert die Spieler heraus, ihre zivilisatorischen Fähigkeiten auf die Probe zu stellen";
"Tagline";"Baue eine Zivilisation in einem epischen Duell der Strategie und Taktik auf";
"Thumbnail";"https://cf.geekdo-images.com/zdagMskTF7wJBPjX74XsRw__thumb/img/gV1-ckZSIC-dCxxpq1Y7GmPITzQ=/fit-in/200x150/filters:strip_icc()/pic2576399.jpg";
"2";"Difficulty (2 = easy)";
"2";"Play Time (2 = short)";
"-1";"Cooperative vs. competetive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"0";"Language Dependence (2 = no text)";
"-1";"Release year (2 = new)";
"#####";"1";
"ID";"173346";
"Name";"7 Wonders Duel";
"Beschreibung";"In '7 Wonders Duel' treten zwei Spieler in einem intensiven Wettstreit um die Vorherrschaft ihrer Zivilisation an. Jeder wählt abwechselnd Karten, die unterschiedliche Vorteile bieten wie militärische Stärke, wissenschaftlichen Fortschritt oder wirtschaftlichen Wohlstand. Der Sieg kann durch militärische Dominanz, wissenschaftliche Überlegenheit oder den höchsten Punktestand am Ende des Spiels errungen werden. Mit einer Vielzahl von strategischen Möglichkeiten bietet '7 Wonders Duel' endlose Wiederspielbarkeit und fordert die Spieler heraus, ihre zivilisatorischen Fähigkeiten auf die Probe zu stellen";
"Tagline";"Baue eine Zivilisation in einem epischen Duell der Strategie und Taktik auf";
"Thumbnail";"https://cf.geekdo-images.com/7BL8N4-Qqo0RrAVEfBhfrQ__thumb/img/NyEfOiEeV0MeNwaCOOb1uefWQtU=/fit-in/200x150/filters:strip_icc()/pic7149683.jpg";
"2";"Difficulty (2 = easy)";
"2";"Play Time (2 = short)";
"-1";"Cooperative vs. competetive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"0";"Language Dependence (2 = no text)";
"0";"Release year (2 = new)";
"#####";"4";
"ID";"346703";
"Name";"7 Wonders: Architects";
"Beschreibung";"In '7 Wonders: Architects' schlüpfen die Spieler in die Rolle von Anführern antiker Zivilisationen, die eines der sieben Weltwunder errichten. Jeder Spieler erhält zu Beginn ein unfertiges Wunder und muss durch das Sammeln von Ressourcen, den Ausbau von Technologien und militärische Stärke sein Bauwerk vollenden. Mit einfachen Regeln und schnellem Spielverlauf bietet '7 Wonders: Architects' eine dynamische Mischung aus Strategie und Taktik, bei der jede Entscheidung zählt. Wer sein Wunder als Erster fertigstellt und die meisten Siegpunkte sammelt, gewinnt das Spiel";
"Tagline";"Errichte eines der sieben Weltwunder und führe deine Zivilisation zum Ruhm in einem schnellen, strategischen Wettstreit";
"Thumbnail";"https://cf.geekdo-images.com/BGtYtHbLgYhYyNMoyOm1RA__thumb/img/Qml2TbcN2IyaA-PtHKcIrhnELd4=/fit-in/200x150/filters:strip_icc()/pic7416525.jpg";
"2";"Difficulty (2 = easy)";
"2";"Play Time (2 = short)";
"-1";"Cooperative vs. competetive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"0";"Language Dependence (2 = no text)";
"0";"Release year (2 = new)";
"#####";"4";
"ID";"526";
"Name";"Abalone";
"Beschreibung";"Abalone ist ein strategisches Brettspiel für zwei Spieler, das auf einem sechseckigen Spielfeld gespielt wird. Jeder Spieler kontrolliert 14 Kugeln in seiner Farbe. Ziel ist es, die Kugeln des Gegners durch geschicktes Schieben vom Spielfeld zu befördern. Die Spieler können bis zu drei ihrer Kugeln gleichzeitig bewegen, um gegnerische Kugeln zu verschieben. Durch kluge Planung und Voraussicht müssen die Spieler ihre Kugeln positionieren, um den Gegner zu überlisten. Abalone ist ein Spiel, das Strategie, Taktik und Geduld erfordert und sowohl für Anfänger als auch für erfahrene Spieler geeignet ist";
"Tagline";"Abalone: Taktisches Kugelschieben für zwei Spieler, das Strategie und Geschicklichkeit vereint";
"Thumbnail";"https://cf.geekdo-images.com/UzH1jAlqYUH9VEq2Wtvzjw__thumb/img/gWROpok8ZlqghhqoGFBFn-Znj2s=/fit-in/200x150/filters:strip_icc()/pic5253079.jpg";
"2";"Difficulty (2 = easy)";
"2";"Play Time (2 = short)";
"-1";"Cooperative vs. competetive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"0";"Language Dependence (2 = no text)";
"-2";"Release year (2 = new)";
"#####";"1";
"ID";"340466";
"Name";"Abgrundtief";
"Beschreibung";"In 'Abgrundtief' begeben sich die Spieler auf eine aufregende Reise in die unerforschten Tiefen des Ozeans, wo Geheimnisse und Schätze warten. Jeder Spieler übernimmt die Rolle eines mutigen Entdeckers, der seine Tauchfähigkeiten und strategisches Geschick nutzen muss, um die wertvollsten Artefakte zu bergen. Doch Vorsicht ist geboten, denn die unbekannten Tiefen sind voller Gefahren und rivalisierender Taucher. Nur wer klug plant und seine Ressourcen geschickt einsetzt, kann als Sieger aus der Tiefe auftauchen. Ein spannendes Abenteuer für die ganze Familie!";
"Tagline";"Tauche ein in die mysteriösen Tiefen des Ozeans und entdecke verborgene Schätze in dieser packenden Mischung aus Strategie und Abenteuer";
"Thumbnail";"https://cf.geekdo-images.com/9HRCnc3Y2k6O5Nxz3wsnlQ__thumb/img/DnwRs3Ymuvt9gANjP8gzIx-5Xo4=/fit-in/200x150/filters:strip_icc()/pic6225456.jpg";
"2";"Difficulty (2 = easy)";
"-2";"Play Time (2 = short)";
"-1";"Cooperative vs. competetive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"0";"Language Dependence (2 = no text)";
"0";"Release year (2 = new)";
"#####";"5";
"ID";"172818";
"Name";"Above and Below";
"Beschreibung";"In 'Above and Below' führst du dein eigenes Dorf, das du über der Erde aufbaust und gleichzeitig unterirdische Höhlen erkundest. Während du dein Dorf erweiterst, triffst du auf geheimnisvolle Kreaturen und löst spannende Abenteuer. Das Spiel kombiniert strategischen Aufbau mit erzählerischen Elementen, bei denen du Entscheidungen treffen musst, die den Verlauf deiner Geschichte beeinflussen. Mit wunderschönen Illustrationen und einem fesselnden Erzählstil bietet 'Above and Below' ein einzigartiges Spielerlebnis, das Strategie und Fantasie in perfekter Harmonie vereint";
