"ID";"203828";
"Name";"13 Minutes: The Cuban Missile Crisis, 1962";
"Beschreibung";"In 13 Minutes: The Cuban Missile Crisis, 1962 schlüpfen zwei Spieler in die Rollen der Supermächte USA und Sowjetunion, um in einem strategischen Duell das Schicksal der Welt zu bestimmen. In nur 13 Minuten entscheiden kluges Kartenmanagement und taktisches Geschick über den Ausgang der Krise. Setzen Sie Einfluss geschickt ein, um die Kontrolle über kritische Schauplätze zu erlangen und einen nuklearen Konflikt zu verhindern. Jede Entscheidung kann den Verlauf der Geschichte verändern. Ein packendes Mikrospiel, das Spannung und Strategie vereint";
"Tagline";"Erleben Sie das intensive Ringen um die Weltmacht in nur 13 Minuten während der Kubakrise 1962";
"Thumbnail";"https://cf.geekdo-images.com/xonPGeLeyBe01TbOf3lgoA__thumb/img/ESbF2E0X-Nxu8-mh4nk2NX7ausg=/fit-in/200x150/filters:strip_icc()/pic3544548.jpg";
"2";"Difficulty (2 = easy)";
"2";"Play Time (2 = short)";
"-1";"Cooperative vs. competitive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"0";"Language Dependence (2 = no text)";
"-1";"Release year (2 = new)";
"#####";"";
"FilterHTML";"<span class='filter-values' data-difficulty='2' data-playtime='2' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='-1' data-mechanics=''></span>";
"#####";"<span class='filter-values' data-difficulty='2' data-playtime='2' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='-1' data-mechanics=''></span>";
"#####";"<span class='filter-values' data-difficulty='2' data-playtime='2' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='-1' data-mechanics=''></span>";
"ID";"27339";
"Name";"3 Man Chess";
"Beschreibung";"3 Man Chess erweitert das klassische Schachspiel um einen dritten Spieler und eine kreisförmige Brettstruktur. Dieses innovative Design fordert die Spieler heraus, neue Strategien zu entwickeln und ihre taktischen Fähigkeiten zu erweitern. Das Spielbrett ist in drei gleichgroße Segmente unterteilt, die es jedem Spieler ermöglichen, von verschiedenen Positionen aus Angriff und Verteidigung zu planen. Der zusätzliche Spieler und das einzigartige Layout sorgen für noch mehr Dynamik und unvorhersehbare Wendungen, die sowohl Schachliebhaber als auch Strategiefans begeistern werden";
"Tagline";"Strategie und Taktik auf einem runden Brett: Drei Spieler, unendliche Möglichkeiten";
"Thumbnail";"https://cf.geekdo-images.com/ihYzUb_cr_TCm5SvS07wrw__thumb/img/mfpG1xJtL2VQ-IC97ej7tojXTmw=/fit-in/200x150/filters:strip_icc()/pic299557.jpg";
"2";"Difficulty (2 = easy)";
"1";"Play Time (2 = short)";
"-1";"Cooperative vs. competitive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"0";"Language Dependence (2 = no text)";
"-2";"Release year (2 = new)";
"#####";"";
"FilterHTML";"<span class='filter-values' data-difficulty='2' data-playtime='1' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='-2' data-mechanics=''></span>";
"#####";"<span class='filter-values' data-difficulty='2' data-playtime='1' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='-2' data-mechanics=''></span>";
"#####";"<span class='filter-values' data-difficulty='2' data-playtime='1' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='-2' data-mechanics=''></span>";
"ID";"207830";
"Name";"5-Minute Dungeon";
"Beschreibung";"5-Minute Dungeon ist ein rasantes, kooperatives Kartenspiel, das schnelle Entscheidungen und Zusammenarbeit erfordert. Spieler schlüpfen in die Rolle von Helden und müssen gemeinsam Hindernisse überwinden, um die unberechenbaren Endgegner zu besiegen. Jede Partie dauert nur fünf Minuten und fordert die Spieler heraus, ihre Karten effizient zu nutzen und miteinander zu kommunizieren. Mit verschiedenen Helden und Bossen bietet es immer neue Herausforderungen und sorgt für Spannung und Spaß bei jedem Spielabend. Perfekt für Gruppen, die Dynamik und Spaß schätzen";
"Tagline";"In 5 Minuten durch das Dungeon: Teamwork und Schnelligkeit für den ultimativen Sieg!";
"Thumbnail";"https://cf.geekdo-images.com/bFZKvxPJ23dzGwgpOg-mIA__thumb/img/DcrVgGjSLsCZqXvEE_s0a1JSdn4=/fit-in/200x150/filters:strip_icc()/pic3213622.png";
"2";"Difficulty (2 = easy)";
"2";"Play Time (2 = short)";
"-1";"Cooperative vs. competitive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"0";"Language Dependence (2 = no text)";
"-1";"Release year (2 = new)";
"#####";"1";
"FilterHTML";"<span class='filter-values' data-difficulty='2' data-playtime='2' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='-1' data-mechanics=''></span>";
"#####";"<span class='filter-values' data-difficulty='2' data-playtime='2' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='-1' data-mechanics=''></span>";
"#####";"<span class='filter-values' data-difficulty='2' data-playtime='2' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='-1' data-mechanics=''></span>";
"ID";"294514";
"Name";"5-Minute Mystery";
"Beschreibung";"In 5-Minute Mystery schlüpfen die Spieler in die Rolle von Detektiven, die gemeinsam versuchen, ein mysteriöses Verbrechen in einem Museum aufzuklären. Mit einer begrenzten Zeit von nur fünf Minuten müssen die Spieler Hinweise sammeln, Beweise analysieren und den richtigen Verdächtigen identifizieren. Das Spiel erfordert schnelles Denken, starke Zusammenarbeit und scharfe Beobachtungsgabe. Jede Partie ist einzigartig, da die Hinweise zufällig verteilt werden, was den Wiederspielwert erhöht und die Spieler immer wieder neue Herausforderungen erleben lässt";
"Tagline";"Löse das Rätsel in nur fünf Minuten: Teamarbeit, schnelle Entscheidungen und aufmerksames Suchen führen zum Sieg";
"Thumbnail";"https://cf.geekdo-images.com/227j91odzi4v2S2pbxcscg__thumb/img/WnOChlK7te8FoCGy-yDGDCAacOo=/fit-in/200x150/filters:strip_icc()/pic7486281.jpg";
"2";"Difficulty (2 = easy)";
"2";"Play Time (2 = short)";
"-1";"Cooperative vs. competitive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"0";"Language Dependence (2 = no text)";
"0";"Release year (2 = new)";
"#####";"1";
"FilterHTML";"<span class='filter-values' data-difficulty='2' data-playtime='2' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='0' data-mechanics=''></span>";
"#####";"<span class='filter-values' data-difficulty='2' data-playtime='2' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='0' data-mechanics=''></span>";
"#####";"<span class='filter-values' data-difficulty='2' data-playtime='2' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='0' data-mechanics=''></span>";
"ID";"192458";
"Name";"51st State: Master Set";
"Beschreibung";"In 51st State: Master Set kämpfst du in einer zerstörten Welt um die Vorherrschaft. Als Anführer einer von vier Fraktionen – Händler, Mutanten, New Yorker oder Appalachian – baust du dein Imperium auf. Nutze Karten, um neue Orte zu etablieren, Ressourcen zu gewinnen und deine Macht zu erweitern. Jede Entscheidung beeinflusst dein Schicksal und das deiner Gegner. Sammle Siegpunkte durch Eroberung, Handel und geschickte Allianzen. Taktische Planung und strategische Entscheidungen sind der Schlüssel, um in dieser rauen Welt zu überleben und zu triumphieren";
"Tagline";"Erschaffe in einer postapokalyptischen Welt eine neue Zivilisation und herrsche über Fraktionen in einem spannenden Strategiespiel";
"Thumbnail";"https://cf.geekdo-images.com/oaDIooAl30NgVUWeIpC1sg__thumb/img/bWWziWTy6KflOseb2tYLNC0PrfQ=/fit-in/200x150/filters:strip_icc()/pic2945432.jpg";
"2";"Difficulty (2 = easy)";
"1";"Play Time (2 = short)";
"-1";"Cooperative vs. competitive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"0";"Language Dependence (2 = no text)";
"-1";"Release year (2 = new)";
"#####";"3";
"FilterHTML";"<span class='filter-values' data-difficulty='2' data-playtime='1' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='-1' data-mechanics=''></span>";
"#####";"<span class='filter-values' data-difficulty='2' data-playtime='1' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='-1' data-mechanics=''></span>";
"#####";"<span class='filter-values' data-difficulty='2' data-playtime='1' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='-1' data-mechanics=''></span>";
"ID";"68448";
"Name";"7 Wonders";
"Beschreibung";"In 7 Wonders leiten die Spieler jeweils eine der großen Städte der Antike. Ziel ist es, durch geschicktes Sammeln von Karten eine mächtige Zivilisation aufzubauen. In drei Zeitaltern wählen die Spieler Karten aus, die sie bauen oder mit anderen Spielern handeln können. Jede Karte bietet diverse Vorteile, von militärischer Stärke über wissenschaftlichen Fortschritt bis hin zu wirtschaftlichem Gewinn. Strategie und Planung sind entscheidend, um am Ende die meisten Siegpunkte zu sammeln und als erfolgreichster Anführer in die Geschichte einzugehen";
"Tagline";"Baue eine Zivilisation, meistere Wissenschaft, Handel und Krieg, um deine Stadt zur größten des Altertums zu führen!";
"Thumbnail";"https://cf.geekdo-images.com/35h9Za_JvMMMtx_92kT0Jg__thumb/img/BUOso8b0M1aUOkU80FWlhE8uuxc=/fit-in/200x150/filters:strip_icc()/pic7149798.jpg";
"2";"Difficulty (2 = easy)";
"2";"Play Time (2 = short)";
"-1";"Cooperative vs. competitive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"0";"Language Dependence (2 = no text)";
"-2";"Release year (2 = new)";
"#####";"3";
"FilterHTML";"<span class='filter-values' data-difficulty='2' data-playtime='2' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='-2' data-mechanics=''></span>";
"#####";"<span class='filter-values' data-difficulty='2' data-playtime='2' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='-2' data-mechanics=''></span>";
"#####";"<span class='filter-values' data-difficulty='2' data-playtime='2' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='-2' data-mechanics=''></span>";
"ID";"68448";
"Name";"7 Wonders";
"Beschreibung";"In 7 Wonders leiten die Spieler jeweils eine der großen Städte der Antike. Ziel ist es, durch geschicktes Sammeln von Karten eine mächtige Zivilisation aufzubauen. In drei Zeitaltern wählen die Spieler Karten aus, die sie bauen oder mit anderen Spielern handeln können. Jede Karte bietet diverse Vorteile, von militärischer Stärke über wissenschaftlichen Fortschritt bis hin zu wirtschaftlichem Gewinn. Strategie und Planung sind entscheidend, um am Ende die meisten Siegpunkte zu sammeln und als erfolgreichster Anführer in die Geschichte einzugehen";
"Tagline";"Baue eine Zivilisation, meistere Wissenschaft, Handel und Krieg, um deine Stadt zur größten des Altertums zu führen!";
"Thumbnail";"https://cf.geekdo-images.com/sqoAhTofAiqtDKDJW3dv9A__thumb/img/W0_OCvwakBNtXFSfoA2Qpj4QbM4=/fit-in/200x150/filters:strip_icc()/pic4051253.jpg";
"2";"Difficulty (2 = easy)";
"2";"Play Time (2 = short)";
"-1";"Cooperative vs. competitive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"0";"Language Dependence (2 = no text)";
"-1";"Release year (2 = new)";
"#####";"5";
"FilterHTML";"<span class='filter-values' data-difficulty='2' data-playtime='2' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='-1' data-mechanics=''></span>";
"#####";"<span class='filter-values' data-difficulty='2' data-playtime='2' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='-1' data-mechanics=''></span>";
"#####";"<span class='filter-values' data-difficulty='2' data-playtime='2' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='-1' data-mechanics=''></span>";
"ID";"173346";
"Name";"7 Wonders Duel";
"Beschreibung";"In 7 Wonders Duel treten zwei Spieler gegeneinander an, um die mächtigste Zivilisation der Antike aufzubauen. Durch das Sammeln von Karten, die Ressourcen, militärische Stärke oder wissenschaftliche Fortschritte repräsentieren, müssen die Spieler strategisch planen, um ihren Gegner zu übertrumpfen. Drei Zeitalter bieten unterschiedliche Herausforderungen und Gelegenheiten, wobei jede Entscheidung den Verlauf des Spiels beeinflusst. Mit mehreren Siegbedingungen und taktischen Möglichkeiten bietet 7 Wonders Duel ein intensives und abwechslungsreiches Spielerlebnis";
"Tagline";"Erobere die Vorherrschaft in einer antiken Welt und führe deine Zivilisation zum Ruhm in einem strategischen Duell für zwei Spieler";
"Thumbnail";"https://cf.geekdo-images.com/zdagMskTF7wJBPjX74XsRw__thumb/img/gV1-ckZSIC-dCxxpq1Y7GmPITzQ=/fit-in/200x150/filters:strip_icc()/pic2576399.jpg";
"2";"Difficulty (2 = easy)";
"2";"Play Time (2 = short)";
"-1";"Cooperative vs. competitive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"0";"Language Dependence (2 = no text)";
"-1";"Release year (2 = new)";
"#####";"1";
"FilterHTML";"<span class='filter-values' data-difficulty='2' data-playtime='2' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='-1' data-mechanics=''></span>";
"#####";"<span class='filter-values' data-difficulty='2' data-playtime='2' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='-1' data-mechanics=''></span>";
"#####";"<span class='filter-values' data-difficulty='2' data-playtime='2' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='-1' data-mechanics=''></span>";
"ID";"173346";
"Name";"7 Wonders Duel";
"Beschreibung";"In 7 Wonders Duel treten zwei Spieler gegeneinander an, um die mächtigste Zivilisation der Antike aufzubauen. Durch das Sammeln von Karten, die Ressourcen, militärische Stärke oder wissenschaftliche Fortschritte repräsentieren, müssen die Spieler strategisch planen, um ihren Gegner zu übertrumpfen. Drei Zeitalter bieten unterschiedliche Herausforderungen und Gelegenheiten, wobei jede Entscheidung den Verlauf des Spiels beeinflusst. Mit mehreren Siegbedingungen und taktischen Möglichkeiten bietet 7 Wonders Duel ein intensives und abwechslungsreiches Spielerlebnis";
"Tagline";"Erobere die Vorherrschaft in einer antiken Welt und führe deine Zivilisation zum Ruhm in einem strategischen Duell für zwei Spieler";
"Thumbnail";"https://cf.geekdo-images.com/7BL8N4-Qqo0RrAVEfBhfrQ__thumb/img/NyEfOiEeV0MeNwaCOOb1uefWQtU=/fit-in/200x150/filters:strip_icc()/pic7149683.jpg";
"2";"Difficulty (2 = easy)";
"2";"Play Time (2 = short)";
"-1";"Cooperative vs. competitive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"0";"Language Dependence (2 = no text)";
"0";"Release year (2 = new)";
"#####";"4";
"FilterHTML";"<span class='filter-values' data-difficulty='2' data-playtime='2' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='0' data-mechanics=''></span>";
"#####";"<span class='filter-values' data-difficulty='2' data-playtime='2' data-coopvscomp='-1' data-conflict='0' data-language='0' data-releaseyear='0' data-mechanics=''></span>";
