"ID";"224517";
"Name";"Brass: Birmingham <small>(2018)</small>";
"Beschreibung";"In Brass: Birmingham, you become an ambitious entrepreneur during the Industrial Revolution, constructing networks and industries in 18th-19th century England. Across two eras, canal and rail, you navigate changing demands and economic challenges. Each turn, you strategically choose actions like building, networking, and developing your industries to outsmart competitors and accumulate the most victory points. Unique mechanics like card management and a varied setup ensure no two games feel the same. <span class='filter-values' data-player-number='2 3 4' data-mechanics='networks' data-themes='economy-infrastructure newHistory trains' ></span>";
"Tagline";"Build networks, grow industries, and navigate the world of the Industrial Revolution.";
"Thumbnail";"https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__thumb/img/o18rjEemoWaVru9Y2TyPwuIaRfE=/fit-in/200x150/filters:strip_icc()/pic3490053.jpg";
"-2";"Difficulty (2 = easy)";
"-1";"Play Time (2 = short)";
"-1";"Cooperative vs. competetive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"2";"Language Dependence (2 = no text)";
"0";"Release year (2 = new)";
"#####";"Freizeile";
"ID";"161936";
"Name";"Pandemic Legacy: Season 1 <small>(2015)</small>";
"Beschreibung";"In Pandemic Legacy: Season 1, you will tackle a thrilling campaign across 12-24 sessions, depending on your team's success. You'll start by racing against time to curb global diseases, much like in classic Pandemic, but with a twist as the storyline evolves. You and your team of specialists will journey worldwide, heal disease hotspots, and research cures. As months pass, you'll face new rules, permanent changes, and intense decisions that shape your game forever. Teamwork is crucial to saving humanity. <span class='filter-values' data-player-number='2 3 4' data-mechanics='trading' data-themes='animals science' ></span>";
"Tagline";"Mutating diseases are spreading around the world - can your team save humanity?";
"Thumbnail";"https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__thumb/img/NQQcjS31TO0DE246N9rpt0hd9eo=/fit-in/200x150/filters:strip_icc()/pic2452831.png";
"0";"Difficulty (2 = easy)";
"1";"Play Time (2 = short)";
"1";"Cooperative vs. competetive (1 = cooperative)";
"1";"Conflict (1 = low conflict)";
"-1";"Language Dependence (2 = no text)";
"0";"Release year (2 = new)";
"#####";"Freizeile";
"ID";"342942";
"Name";"Arche Nova <small>(2021)</small>";
"Beschreibung";"In Ark Nova, you will design a modern zoo focused on conservation. Build enclosures and accommodate animals to increase your zoo's attraction. Use action cards strategically to manage your gameplay, where the cards' positions determine their power. Gain and use cards featuring animals, specialists, enclosures, and projects to enhance your zoo's reputation. Plan wisely, as each decision impacts your path to becoming the most successful zoological establishment. <span class='filter-values' data-player-number='1 2 3' data-mechanics='drafting tilePlacement' data-themes='animals economy-infrastructure science' ></span>";
"Tagline";"Plan and build a modern, scientifically managed zoo to support conservation projects.";
"Thumbnail";"https://cf.geekdo-images.com/SoU8p28Sk1s8MSvoM4N8pQ__thumb/img/4KuHNTWSMPf8vTNDKSRMMI3oOv8=/fit-in/200x150/filters:strip_icc()/pic6293412.jpg";
"-2";"Difficulty (2 = easy)";
"-2";"Play Time (2 = short)";
"-1";"Cooperative vs. competetive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"-1";"Language Dependence (2 = no text)";
"1";"Release year (2 = new)";
"#####";"Freizeile";
"ID";"174430";
"Name";"Gloomhaven <small>(2017)</small>";
"Beschreibung";"In Gloomhaven, you take on the roles of wandering adventurers equipped with unique skills and motivations. In this ever-evolving world, you'll explore dark dungeons and forgotten ruins, fighting automated monsters with strategic cardplay. Each turn, choose two cards and decide your actions wisely, as over time, you may lose cards and be forced to retreat. Cooperative gameplay and branching storylines make each decision impactful in your quest to carve out a legacy, all within approximately 150 minutes. <span class='filter-values' data-player-number='1 2 3 4' data-mechanics='deckBuilding dungeonCrawler storytelling' data-themes='adventure fantasy war' ></span>";
"Tagline";"Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!";
"Thumbnail";"https://cf.geekdo-images.com/sZYp_3BTDGjh2unaZfZmuA__thumb/img/veqFeP4d_3zNhFc3GNBkV95rBEQ=/fit-in/200x150/filters:strip_icc()/pic2437871.jpg";
"-2";"Difficulty (2 = easy)";
"-1";"Play Time (2 = short)";
"1";"Cooperative vs. competetive (1 = cooperative)";
"1";"Conflict (1 = low conflict)";
"-1";"Language Dependence (2 = no text)";
"0";"Release year (2 = new)";
"#####";"Freizeile";
"ID";"233078";
"Name";"Twilight Imperium: Fourth Edition <small>(2017)</small>";
"Beschreibung";"In Twilight Imperium: Fourth Edition, you dive into epic space battles and political intrigue to become the ruler of the galaxy. Choose one of seventeen unique factions, each with its own strengths and strategies. Build your galaxy by strategically placing system tiles, explore new worlds, and engage in trade or warfare. The game is dynamic, with a strategic action system and evolving objectives. Plan your moves wisely and outmaneuver your opponents in a race to achieve ten victory points first. <span class='filter-values' data-player-number='4 5 6' data-mechanics='trading areaControl' data-themes='adventure economy-infrastructure politics scifi war' ></span>";
"Tagline";"Build an intergalactic empire through trade, research, conquest and grand politics.";
"Thumbnail";"https://cf.geekdo-images.com/_Ppn5lssO5OaildSE-FgFA__thumb/img/lfEukJE0JsoZZObaF9K9YnFp62E=/fit-in/200x150/filters:strip_icc()/pic3727516.jpg";
"-2";"Difficulty (2 = easy)";
"-2";"Play Time (2 = short)";
"-1";"Cooperative vs. competetive (1 = cooperative)";
"-1";"Conflict (1 = low conflict)";
"-1";"Language Dependence (2 = no text)";
"0";"Release year (2 = new)";
"#####";"Freizeile";
"ID";"316554";
"Name";"Dune: Imperium <small>(2020)</small>";
"Beschreibung";"In Dune: Imperium, you step into the shoes of a leader from one of the Great Houses of the Landsraad. Engage in a deep strategy game combining deck-building and worker placement mechanics, drawing inspiration from the iconic Dune universe. Craft your strategy by acquiring powerful cards, deploying agents, and navigating political intrigue. As you vie for control over Arrakis, will you prioritize military strength or political cunning? Each decision shapes the fate of your House and determines who will control the all-important spice. <span class='filter-values' data-player-number='2 3 4' data-mechanics='deckBuilding drafting workerPlacement' data-themes='politics scifi' ></span>";
"Tagline";"Influence, intrigue, and combat in the universe of Dune.";
"Thumbnail";"https://cf.geekdo-images.com/PhjygpWSo-0labGrPBMyyg__thumb/img/JGgY-nBmkyB8WRp8vcoBLlNMQ5U=/fit-in/200x150/filters:strip_icc()/pic5666597.jpg";
"-1";"Difficulty (2 = easy)";
"-1";"Play Time (2 = short)";
"-1";"Cooperative vs. competetive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"0";"Language Dependence (2 = no text)";
"1";"Release year (2 = new)";
"#####";"Freizeile";
"ID";"167791";
"Name";"Terraforming Mars <small>(2016)</small>";
"Beschreibung";"In Terraforming Mars, you control a corporation tasked with making Mars habitable in the 2400s. You will invest in projects to increase temperature, raise oxygen levels, and create oceans. As you develop your infrastructure, you'll balance buying and playing project cards to maximize your resource production. Compete for the best locations on Mars and earn victory points by achieving milestones and awards. The game ends when the planet has been successfully terraformed. <span class='filter-values' data-player-number='1 2 3 4' data-mechanics='drafting tilePlacement' data-themes='animals economy-infrastructure science scifi' ></span>";
"Tagline";"Compete with rival CEOs to make Mars habitable and build your corporate empire.";
"Thumbnail";"https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__thumb/img/BTxqxgYay5tHJfVoJ2NF5g43_gA=/fit-in/200x150/filters:strip_icc()/pic3536616.jpg";
"-1";"Difficulty (2 = easy)";
"-1";"Play Time (2 = short)";
"-1";"Cooperative vs. competetive (1 = cooperative)";
"0";"Conflict (1 = low conflict)";
"-1";"Language Dependence (2 = no text)";
"0";"Release year (2 = new)";
"#####";"Freizeile";
"ID";"115746";
"Name";"War of the Ring: Second Edition <small>(2011)</small>";
